Contact Centre,Transaction Type,Unit Group,Call Type Code_NEW,Call Type Code_OLD,Assignment group,Call Type,Service Group,Verification Status,Dept/MOE & Call Type,Short Description-Call Type,Org. Unit,Org. Unit Name,Priority,SLA Duration,SLA Unit,RULEGUID,Operating Hours,Paid Service ,Quotation ,"OLA 
Still awaiting",Escalation,Reminder,Contract,MANDATORY Forms / Supporting documents,Additional information,,,
Water Contact,Service Request,Joburg Water Forcelink,10144,C401,Joburg Water Forcelink,,FIX MY CITY,Unverified ,REINSTATEMENT-INT-PAVING/CONTR,REINSTATEMENT-INT-PAVING,60000042,JOHANNESBURG WATER,P5,240,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10145,C402,Joburg Water Forcelink,,FIX MY CITY,Unverified ,TAR REINSTATEMENT:JRA:WATER,TAR REINSTATEMENT:JRA:WATER,60000042,JOHANNESBURG WATER,P5,240,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10146,C410,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:DEBRIS/ RUBBLE/ BARRICADE,DEBRIS/ RUBBLE/ BARRICADE,60000042,JOHANNESBURG WATER,P5,120,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10147,C111,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:MAJOR BURST/FLOODING,MAJOR BURST/FLOODING,60000042,JOHANNESBURG WATER,P3,48,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10148,C112,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:MINOR BURST:NO FLOODING,MINOR BURST:NO FLOODING,60000042,JOHANNESBURG WATER,P3,48,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10149,C310,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",M:LEAKING METER,LEAKING METER,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10150,C311,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER FAULTY/DIAL SPINNING,METER FAULTY/DIAL SPINNING,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10151,C320,Joburg Water Forcelink,,FIX MY CITY,Unverified ,W:LEAKING WATER CONNECTION,LEAKING WATER CONNECTION,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10152,C380,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:STOPCOCK BROKEN/DAM/VANDALIS,STOPCOCK BROKEN/DAM/VANDALIS,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10153,MM,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",M:MOVE METER,MOVE METER,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10154,W09,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",M:METER TEST REQUEST,METER TEST REQUEST,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10155,W120,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",W:METER BOX REPLACEMENT,METER BOX REPLACEMENT,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10156,W121,Joburg Water Forcelink,,JOBURG SERVICES (Service Request),"Proxy, Verified",W:METER BOX MAINTENANCE,METER BOX MAINTENANCE,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10157,W16,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER RUNNING CONTINIOUSLY,METER RUNNING CONTINIOUSLY,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10158,W17,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER STUCK,METER STUCK,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
Water Contact,Service Request,Joburg Water Forcelink,10159,W18,Joburg Water Forcelink,,FIX MY CITY,Unverified ,M:METER COVERED UNABLE TO LOCA,METER COVERED UNABLE TO LOCA,60000042,JOHANNESBURG WATER,P4,72,HOUR,5CA3D9C248150054E1000000A859B6B0,24x7,NO,NO,,,,,,,,,
